company_name,company_type,delivery_setting,address,city,state,zip,phone,email,website_url,description,year_founded,employee_count_estimate,revenue_estimate,funding_status,rank_score,positive_signals,exclude_flags,status,verified,notes
7872 Inc.,psychiatry,multi_setting,615 Clinic Dr,Longview,TX,75605,903-212-3105,,,"7872 Inc. is a geriatric behavioral health practice serving seniors in Longview, TX.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Asana Integrated Medical Group Pc,psychiatry,multi_setting,4500 N Lewis Ave,Sioux Falls,TX,57104,605-606-0100,,,"Asana Integrated Medical Group Pc is a geriatric behavioral health practice serving seniors in Sioux Falls, TX.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"Bd Health, Inc.",psychiatry,multi_setting,2400 Augusta Dr,Houston,TX,77057,713-581-8792,,,"Bd Health, Inc. is a geriatric behavioral health practice serving seniors in Houston, TX.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Bharath G Raj,psychiatry,multi_setting,3411 Cedar Knolls Dr Ste B,Kingwood,TX,77339,281-532-5462,,,"Bharath G Raj is a geriatric behavioral health practice serving seniors in Kingwood, TX.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Brighter Day Health Llc,psychiatry,multi_setting,4843 Washington St,Boston,TX,02132,713-581-8801,,,"Brighter Day Health Llc is a geriatric behavioral health practice serving seniors in Boston, TX.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Atlantic Visiting Practice Pa,psychiatry,multi_setting,6310 Beach Blvd,Jacksonville,FL,32216,904-551-9757,,,"Atlantic Visiting Practice Pa is a geriatric behavioral health practice serving seniors in Jacksonville, FL.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Jody Amazon Pc,psychiatry,multi_setting,2160 Fountain Dr Ste 220,Snellville,GA,30078,678-336-9102,,,"Jody Amazon Pc is a geriatric behavioral health practice serving seniors in Snellville, GA.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Osh-Mi Physicians Group Pc,psychiatry,multi_setting,1007 Summit Ave,Greensboro,GA,27405,336-200-7010,,,"Osh-Mi Physicians Group Pc is a geriatric behavioral health practice serving seniors in Greensboro, GA.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Psychiatric Services Of America,psychiatry,multi_setting,311 Gwinnett Dr.,Lawrenceville,GA,30046,770-910-9196,,,"Psychiatric Services Of America is a geriatric behavioral health practice serving seniors in Lawrenceville, GA.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Smh Physician Services Inc,psychiatry,multi_setting,1700 S Tamiami Trl,Sarasota,GA,34239,941-917-8720,,,"Smh Physician Services Inc is a geriatric behavioral health practice serving seniors in Sarasota, GA.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"East Carolina Psychiatric Consultants,Pllc",psychiatry,multi_setting,916 Eleventh St,Goldsboro,NC,27534,919-735-9119,,,"East Carolina Psychiatric Consultants,Pllc is a geriatric behavioral health practice serving seniors in Goldsboro, NC.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"Extended Care Physicians - Coastal, Pa",psychiatry,multi_setting,1013 Porters Neck Rd,Wilmington,NC,28411,910-795-1471,,,"Extended Care Physicians - Coastal, Pa is a geriatric behavioral health practice serving seniors in Wilmington, NC.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
Extended Care Physicians - Metrolina Pa,psychiatry,multi_setting,90 Southside Ave,Asheville,NC,28801,828-277-4810,,,"Extended Care Physicians - Metrolina Pa is a geriatric behavioral health practice serving seniors in Asheville, NC.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"Extended Care Physicians - Mountain, Pa",psychiatry,multi_setting,90 Southside Ave,Asheville,NC,28801,828-277-4810,,,"Extended Care Physicians - Mountain, Pa is a geriatric behavioral health practice serving seniors in Asheville, NC.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
"Inpatient Consultants Of North Carolina, Pc",psychiatry,multi_setting,2001 Vail Ave Fl 7,Charlotte,NC,28207,314-317-0600,,,"Inpatient Consultants Of North Carolina, Pc is a geriatric behavioral health practice serving seniors in Charlotte, NC.",,,unknown,unknown,60,npi-verified group practice; street-address-confirmed,,uncontacted,No,
